institution,year,section,category,value
lafayette,2025,assets,cash and cash equivalents,71248000
lafayette,2025,assets,short-term investments,10290000
lafayette,2025,assets,"accounts and loans receivable, net",4009000
lafayette,2025,assets,"contributions receivable and bequests, net",23027000
lafayette,2025,assets,prepaid expenses and other assets,4242000
lafayette,2025,assets,deposits with bond trustees,1566000
lafayette,2025,assets,long-term investments,1224655000
lafayette,2025,assets,"property and equipment, net",494367000
lafayette,2025,assets,"right-of-use assets, net",7980000
lafayette,2025,liabilities,accounts payable and accrued expenses,13405000
lafayette,2025,liabilities,deposits and deferred revenues,2102000
lafayette,2025,liabilities,funds held for others,151000
lafayette,2025,liabilities,annuities payable,11099000
lafayette,2025,liabilities,postretirement benefits,21565000
lafayette,2025,liabilities,interest rate swap agreements,4321000
lafayette,2025,liabilities,conditional asset retirement obligations,2065000
lafayette,2025,liabilities,operating lease obligations,7972000
lafayette,2025,liabilities,finance lease obligations,382000
lafayette,2025,liabilities,"bonds and notes payable, net",301251000
lafayette,2024,assets,cash and cash equivalents,63586000
lafayette,2024,assets,short-term investments,10051000
lafayette,2024,assets,"accounts and loans receivable, net",7195000
lafayette,2024,assets,"contributions receivable and bequests, net",19778000
lafayette,2024,assets,prepaid expenses and other assets,4740000
lafayette,2024,assets,deposits with bond trustees,1404000
lafayette,2024,assets,long-term investments,1148124000
lafayette,2024,assets,"property and equipment, net",483050000
lafayette,2024,assets,"right-of-use assets, net",7036000
lafayette,2024,liabilities,accounts payable and accrued expenses,20805000
lafayette,2024,liabilities,deposits and deferred revenues,2316000
lafayette,2024,liabilities,funds held for others,153000
lafayette,2024,liabilities,annuities payable,10801000
lafayette,2024,liabilities,postretirement benefits,21691000
lafayette,2024,liabilities,interest rate swap agreements,4356000
lafayette,2024,liabilities,conditional asset retirement obligations,1990000
lafayette,2024,liabilities,operating lease obligations,6925000
lafayette,2024,liabilities,finance lease obligations,310000
lafayette,2024,liabilities,"bonds and notes payable, net",302293000
lafayette,2023,assets,cash and cash equivalents,56948000
lafayette,2023,assets,short-term investments,21512000
lafayette,2023,assets,"accounts and loans receivable, net",6104000
lafayette,2023,assets,"contributions receivable and bequests, net",18683000
lafayette,2023,assets,prepaid expenses and other assets,4624000
lafayette,2023,assets,deposits with bond trustees,1362000
lafayette,2023,assets,long-term investments,1102166000
lafayette,2023,assets,"property and equipment, net",438196000
lafayette,2023,liabilities,accounts payable and accrued expenses,17482000
lafayette,2023,liabilities,deposits and deferred revenues,1602000
lafayette,2023,liabilities,funds held for others,146000
lafayette,2023,liabilities,annuities payable,13767000
lafayette,2023,liabilities,postretirement benefits,24809000
lafayette,2023,liabilities,interest rate swap agreements,4680000
lafayette,2023,liabilities,conditional asset retirement obligations,1927000
lafayette,2023,liabilities,operating lease obligations,8096000
lafayette,2023,liabilities,"bonds and notes payable, net",303616000
lafayette,2022,assets,cash and cash equivalents,63231000
lafayette,2022,assets,short-term investments,21499000
lafayette,2022,assets,"accounts and loans receivable, net",3924000
lafayette,2022,assets,"contributions receivable and bequests, net",13203000
lafayette,2022,assets,prepaid expenses and other assets,4149000
lafayette,2022,assets,deposits with bond trustees,1464000
lafayette,2022,assets,long-term investments,1055336000
lafayette,2022,assets,"property and equipment, net",411239000
lafayette,2022,liabilities,accounts payable and accrued expenses,19906000
lafayette,2022,liabilities,deposits and deferred revenues,1900000
lafayette,2022,liabilities,funds held for others,4120000
lafayette,2022,liabilities,annuities payable,15586000
lafayette,2022,liabilities,postretirement benefits,27466000
lafayette,2022,liabilities,federal student loans refundable,208000
lafayette,2022,liabilities,interest rate swap agreements,7189000
lafayette,2022,liabilities,conditional asset retirement obligations,1842000
lafayette,2022,liabilities,operating lease obligations,6378000
lafayette,2022,liabilities,"bonds and notes payable, net",288273000
lafayette,2021,assets,cash and cash equivalents,53317000
lafayette,2021,assets,short-term investments,23510000
lafayette,2021,assets,"accounts and loans receivable, net",2721000
lafayette,2021,assets,"contributions receivable and bequests, net",9680000
lafayette,2021,assets,prepaid expenses and other assets,3131000
lafayette,2021,assets,deposits with bond trustees,1031000
lafayette,2021,assets,long-term investments,1124926000
lafayette,2021,assets,"property and equipment, net",396686000
lafayette,2021,liabilities,accounts payable and accrued expenses,18178000
lafayette,2021,liabilities,deposits and deferred revenues,2183000
lafayette,2021,liabilities,funds held for others,4940000
lafayette,2021,liabilities,annuities payable,18887000
lafayette,2021,liabilities,postretirement benefits,39575000
lafayette,2021,liabilities,federal student loans refundable,395000
lafayette,2021,liabilities,interest rate swap agreements,13523000
lafayette,2021,liabilities,conditional asset retirement obligations,1792000
lafayette,2021,liabilities,operating lease obligations,6919000
lafayette,2021,liabilities,mortgages payable,1980000
lafayette,2021,liabilities,"bonds and notes payable, net",276047000
lafayette,2020,assets,cash and cash equivalents,42552000
lafayette,2020,assets,short-term investments,24358000
lafayette,2020,assets,"accounts and loans receivable, net",4961000
lafayette,2020,assets,"contributions receivable and bequests, net",15033000
lafayette,2020,assets,prepaid expenses and other assets,2636000
lafayette,2020,assets,deposits with bond trustees,1272000
lafayette,2020,assets,long-term investments,894247000
lafayette,2020,assets,"property and equipment, net",396505000
lafayette,2020,liabilities,accounts payable and accrued expenses,12144000
lafayette,2020,liabilities,deposits and deferred revenues,5520000
lafayette,2020,liabilities,funds held for others,3618000
lafayette,2020,liabilities,annuities payable,19048000
lafayette,2020,liabilities,postretirement benefits,41141000
lafayette,2020,liabilities,federal student loans refundable,882000
lafayette,2020,liabilities,interest rate swap agreements,17953000
lafayette,2020,liabilities,conditional asset retirement obligations,1936000
lafayette,2020,liabilities,operating lease obligations,1329000
lafayette,2020,liabilities,mortgages payable,2100000
lafayette,2020,liabilities,"bonds and notes payable, net",270592000
